,id,Цена,Цена за кв.метр,Количество собственников,Район,Улица,Вид сделки,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Этажей в доме,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Техника,Способ продажи,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Дополнительно,Тип комнат,Мебель,Тип продавца,Data_added,latitude,longitude,center_distance,metro_distance
0,7369217589,9350000.0,110000.0,1 собственник,Kirovsky,"18-й километр, 37",возможна ипотека,3,85.0,17.5,,25.0,25.0,балкон,,раздельный,,дизайнерский,,свободная,монолитный,2021.0,1,2,,"детская площадка, спортивная площадка",открытая во дворе,панорамные окна,изолированные,"кухня, хранение одежды, спальные места",агентство,2025-05-27,,,,
1,7373532517,8200000.0,197590.0,1 собственник,Oktyabrsky,"Московское ш., 29",,студия,41.5,,41.5,17.0,24.0,балкон,2.7,совмещенный,"во двор, на солнечную сторону",дизайнерский,"кондиционер, холодильник, стиральная машина",свободная,монолитный,,3,3,,"детская площадка, спортивная площадка",подземная,гардеробная,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-27,53.2184734,50.1912753,7.14,2.04
4,4962057121,11200000.0,129032.0,2 собственника или больше,Zheleznodorozhny,"Революционная ул., 146А",,3,86.8,12.1,47.5,1.0,11.0,лоджия,2.7,раздельный,"во двор, на солнечную сторону",евро,,свободная,кирпичный,2000.0,1,1,газ,"детская площадка, спортивная площадка","подземная, открытая во дворе",,изолированные,"кухня, хранение одежды",частное лицо,2025-05-27,53.1950404,50.181259,5.8,0.64
5,7277003594,7400000.0,208451.0,1 собственник,Oktyabrsky,"ул. Осипенко, 2Б",возможна ипотека,1,35.5,7.6,18.8,1.0,16.0,лоджия,2.7,совмещенный,во двор,косметический,"холодильник, стиральная машина",свободная,кирпичный,1977.0,1,1,"мусоропровод, газ","детская площадка, спортивная площадка",открытая во дворе,,,"кухня, хранение одежды, спальные места",агентство,2025-05-27,53.2144299,50.1318621,3.59,0.58
6,4485182305,4999000.0,89428.0,2 собственника или больше,Promyshlenny,"Воронежская ул., 188",,3,55.9,6.0,35.0,1.0,5.0,,,раздельный,,косметический,,свободная,кирпичный,,нет,нет,,,,,изолированные,"кухня, хранение одежды, спальные места",агентство,2025-05-27,53.2385795,50.2227732,10.06,3.35
7,4787524271,3300000.0,113793.0,Группа компаний «Новый ДОН»,Kirovsky,"ул. Алма-Атинская/Стара-Загора/2-я линия, стр. 2",возможна ипотека,студия,29.0,,29.0,15.0,25.0,лоджия,,совмещенный,"во двор, на солнечную сторону",,,переуступка,монолитно-кирпичный,,2,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,,,частное лицо,2025-05-27,,,,
8,7334777255,3190000.0,111930.0,Группа компаний «Новый ДОН»,Kirovsky,"ул. Алма-Атинская/Стара-Загора/2-я линия, стр. 2",,студия,28.5,,12.8,13.0,23.0,,2.7,совмещенный,на улицу,,,переуступка,кирпичный,,2,,,"детская площадка, спортивная площадка",,,,,частное лицо,2025-05-27,,,,
9,7338099073,17800000.0,181633.0,Группа компаний «Строительный холдинг Град»,Samarsky,"ул. Степана Разина, д. 114",,3,98.0,16.0,57.0,2.0,7.0,лоджия,,"совмещенный, раздельный",,,,переуступка,кирпичный,,1,1,,,,гардеробная,изолированные,,частное лицо,2025-05-27,53.189636,50.0878051,0.49,3.8
10,4617362321,6250000.0,106655.0,Контактное лицо,Krasnoglinsky,"Красногвардейская ул., 3",возможна ипотека,2,58.6,12.0,35.0,1.0,10.0,лоджия,,раздельный,во двор,евро,,свободная,панельный,2016.0,1,1,,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,изолированные,"кухня, хранение одежды",агентство,2025-05-27,53.3491181,50.2101646,19.2,15.39
11,4833901704,10255000.0,160234.0,2 собственника или больше,Promyshlenny,"Нагорная ул., 6",возможна ипотека,2,64.0,12.1,34.1,9.0,10.0,балкон,2.6,раздельный,на солнечную сторону,дизайнерский,"кондиционер, холодильник, посудомоечная машина, водонагреватель",свободная,кирпичный,2007.0,,1,,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,изолированные,"кухня, хранение одежды, спальные места",частное лицо,2025-05-27,53.2201316,50.2206333,9.01,1.82
12,4777513900,3700000.0,146245.0,1 собственник,Kirovsky,"ул. Николая Симонова, 19",возможна ипотека,студия,25.3,,17.0,2.0,9.0,лоджия,2.6,совмещенный,во двор,евро,"холодильник, стиральная машина",свободная,кирпичный,2024.0,1,1,консьерж,"детская площадка, спортивная площадка",открытая во дворе,,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-27,53.2967917,50.3282538,19.53,9.89
13,7284374586,6599999.0,154206.0,"Авито — сайт объявлений России. © ООО «КЕХ еКоммерц» 2007–2025. Правила Авито. Политика конфиденциальности. Оплачивая услуги на Авито, вы принимаете оферту. Авито использует рекомендательные технологии.",Kirovsky,"ул. Георгия Димитрова, 74Ак2",,1,42.8,11.3,19.5,2.0,16.0,балкон,2.5,совмещенный,"во двор, на солнечную сторону",дизайнерский,"холодильник, стиральная машина, посудомоечная машина",свободная,монолитный,2023.0,1,1,,детская площадка,открытая во дворе,,,"кухня, хранение одежды, спальные места",агентство,2025-05-27,,,,
14,7367160947,3300000.0,102484.0,1 собственник,Kirovsky,"ул. Николая Симонова, 7",возможна ипотека,1,32.2,8.7,,1.0,5.0,лоджия,,совмещенный,,косметический,"кондиционер, холодильник",свободная,кирпичный,2018.0,нет,нет,,"детская площадка, спортивная площадка",открытая во дворе,,,кухня,частное лицо,2025-05-27,53.2978329,50.3256618,19.46,9.95
16,4787120913,5350000.0,84252.0,1 собственник,Krasnoglinsky,"Крайняя ул., 6",возможна ипотека,3,63.5,7.0,44.9,4.0,5.0,лоджия,2.5,раздельный,во двор,косметический,,свободная,панельный,1977.0,нет,нет,газ,детская площадка,открытая во дворе,,изолированные,,частное лицо,2025-05-27,53.3421726,50.2176762,18.71,14.55
